Main	2014 6-Year Grad Rate	Underrepresented Minority 6-Year Grad Rate	% Pell Recipients Among Freshmen	% Underrepresented Minority	Average High School GPA Among College Freshmen	Estimated Median SAT / ACT	"Total Price for In-State, On-Campus Students"	Average Net Price After Grants	Median earnings 10 years after entry	Federal Loan 3-Year Default Rate	State	Size (Undergrad FTE)	Sector	"Endowment Assets, FY2014"
Temple University	69.2%	64.2%	28.3%	18.4%	3.44	"1,121"	"$29,632"	"$19,435"	"$46,500"	5.0%	PA	"25,851"	Public	"$372,336,565"
University of South Florida-Main Campus	67.2%	67.6%	39.7%	30.4%	3.86	"1,168"	"$20,760"	"$11,355"	"$41,700"	5.3%	FL	"26,189"	Public	"$387,862,451"
George Mason University	66.9%	66.3%	25.2%	20.9%	3.66	"1,155"	"$25,335"	"$17,347"	"$57,000"	1.6%	VA	"18,837"	Public	"$69,554,336"
San Diego State University	66.0%	59.2%	33.0%	33.3%	3.60	"1,090"	"$25,068"	"$10,085"	"$48,700"	3.6%	CA	"25,058"	Public	"$201,130,987"
California State University-Long Beach	65.2%	58.2%	48.5%	41.5%	3.50	"1,012"	"$22,106"	"$7,672"	"$46,900"	3.8%	CA	"27,408"	Public	"$57,046,044"
Texas Tech University	59.1%	54.8%	24.5%	26.9%	-	"1,116"	"$21,601"	"$13,901"	"$46,100"	6.0%	TX	"25,240"	Public	"$674,271,517"
East Carolina University	58.6%	57.5%	34.2%	21.7%	3.59	"1,050"	"$20,831"	"$12,908"	"$39,200"	5.1%	NC	"19,503"	Public	"$165,724,193"
California State Polytechnic University-Pomona	56.4%	48.8%	46.8%	40.8%	3.43	"1,070"	"$22,571"	"$9,824"	"$52,000"	3.2%	CA	"19,257"	Public	"$86,644,218"
California State University-Fullerton	55.7%	48.6%	46.1%	40.1%	3.48	"1,021"	"$23,505"	"$5,542"	"$46,500"	3.5%	CA	"28,827"	Public	"$50,355,029"
Central Michigan University	55.5%	49.4%	38.7%	10.0%	3.32	"1,029"	"$22,004"	"$13,580"	"$40,000"	5.5%	MI	"18,765"	Public	"$108,042,439"
Georgia State University	53.3%	55.7%	57.0%	48.1%	3.34	"1,060"	"$24,448"	"$15,609"	"$41,500"	6.0%	GA	"20,563"	Public	"$184,643,786"
San Jose State University	51.6%	43.5%	43.0%	27.6%	3.31	"1,030"	"$23,629"	"$10,729"	"$54,600"	3.1%	CA	"22,522"	Public	"$119,265,488"
University of North Texas	50.2%	47.1%	40.2%	34.9%	-	"1,100"	"$20,232"	"$10,827"	"$42,100"	7.6%	TX	"26,498"	Public	"$145,656,170"
University of Houston	48.1%	40.8%	39.9%	40.8%	-	"1,136"	"$22,463"	"$12,618"	"$48,300"	6.2%	TX	"25,788"	Public	"$684,517,752"
Florida Atlantic University	45.9%	45.6%	41.0%	42.1%	3.46	"1,039"	"$21,583"	"$13,360"	"$41,400"	6.2%	FL	"19,191"	Public	"$275,570,263"
Kennesaw State University	42.6%	42.2%	36.2%	24.7%	3.22	"1,068"	"$24,659"	"$16,232"	"$41,300"	7.1%	GA	"18,786"	Public	"$26,008,887"
